"_time",User,"Page_Count","anonymized_Printer"
"2016-09-19T08:13:53.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T08:13:53.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T08:13:54.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T08:13:54.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T08:13:55.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T08:13:55.000-0700",chuck,1,"anon_Printer_4"
"2016-09-19T08:20:00.000-0700",chuck,1,"anon_Printer_2"
"2016-09-19T08:20:00.000-0700",chuck,2,"anon_Printer_2"
"2016-09-19T08:20:00.000-0700",chuck,2,"anon_Printer_2"
"2016-09-19T08:21:43.000-0700",chuck,1000,"anon_Printer_2"
"2016-09-19T08:21:43.000-0700",chuck,500,"anon_Printer_2"
"2016-09-19T08:21:43.000-0700",chuck,1000,"anon_Printer_2"
"2016-09-19T08:21:53.000-0700",chuck,4,"anon_Printer_1"
"2016-09-19T08:21:53.000-0700",chuck,1,"anon_Printer_1"
"2016-09-19T08:21:53.000-0700",chuck,3,"anon_Printer_1"
"2016-09-19T08:25:11.000-0700",chuck,1,"anon_Printer_1"
"2016-09-19T08:25:11.000-0700",chuck,1,"anon_Printer_1"
"2016-09-19T08:25:20.000-0700",chuck,1,"anon_Printer_1"
"2016-09-19T08:25:20.000-0700",chuck,1,"anon_Printer_1"
"2016-09-19T08:25:32.000-0700",chuck,1,"anon_Printer_1"
"2016-09-19T08:25:32.000-0700",chuck,1,"anon_Printer_1"
"2016-09-19T08:36:44.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:36:44.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:40:40.000-0700",chuck,37,"anon_Printer_9"
"2016-09-19T08:43:35.000-0700",chuck,2,"anon_Printer_4"
"2016-09-19T08:43:35.000-0700",chuck,2,"anon_Printer_4"
"2016-09-19T08:43:35.000-0700",chuck,3,"anon_Printer_4"
"2016-09-19T08:43:37.000-0700",chuck,4,"anon_Printer_4"
"2016-09-19T08:43:37.000-0700",chuck,4,"anon_Printer_4"
"2016-09-19T08:43:37.000-0700",chuck,2,"anon_Printer_4"
"2016-09-19T08:43:44.000-0700",chuck,250,"anon_Printer_4"
"2016-09-19T08:43:44.000-0700",chuck,250,"anon_Printer_4"
"2016-09-19T08:46:16.000-0700",chuck,14,"anon_Printer_9"
"2016-09-19T08:46:21.000-0700",chuck,3,"anon_Printer_9"
"2016-09-19T08:46:27.000-0700",chuck,5,"anon_Printer_9"
"2016-09-19T08:46:32.000-0700",chuck,1,"anon_Printer_9"
"2016-09-19T08:46:39.000-0700",chuck,2,"anon_Printer_6"
"2016-09-19T08:46:39.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:46:39.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:47:16.000-0700",chuck,17,"anon_Printer_9"
"2016-09-19T08:48:05.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:48:05.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:50:16.000-0700",chuck,2,"anon_Printer_6"
"2016-09-19T08:50:16.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:50:16.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:50:17.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:50:17.000-0700",chuck,2,"anon_Printer_6"
"2016-09-19T08:50:17.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:50:19.000-0700",chuck,1,"anon_Printer_5"
"2016-09-19T08:50:19.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:50:19.000-0700",chuck,13,"anon_Printer_5"
"2016-09-19T08:51:46.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:51:46.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:52:20.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:52:20.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:53:15.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:53:15.000-0700",chuck,1,"anon_Printer_6"
"2016-09-19T08:53:24.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:53:24.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:54:13.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:54:13.000-0700",chuck,14,"anon_Printer_5"
"2016-09-19T08:54:50.000-0700",chuck,14,"anon_Printer_5"
